fx,fy,tx,ty,route_number,distance,duration
-77.028694,38.888774,-77.037413,38.879819,"1",1884.3,545.2
-77.037413,38.879819,-77.028694,38.888774,"2",1712.7,655.5
-77.0494365,38.888255,-77.0494365,38.888255,"3",0,0
-77.0494365,38.888255,-77.032427,38.8885525,"4",1695.4,516.6
-77.032427,38.8885525,-77.049383,38.890539,"5",1977.4,570.9
-77.0172465,38.8904955,-77.0494365,38.888255,"6",3120.7,903.3
-77.049383,38.890539,-77.0494365,38.888255,"7",320.3,227.7
-77.03442693,38.90980063,-77.028694,38.888774,"8",2894.7,837
-77.028694,38.888774,-77.013769,38.886978,"9",1520.9,440.7
-77.038325,38.888097,-77.034449,38.9190185,"10",3850,1049.1
-77.03442693,38.90980063,-77.038325,38.888097,"11",3080.8,819.1
-77.00493,38.89696,-77.0444,38.9101,"12",1712.7,655.5
-77.0494365,38.888255,-77.038252,38.915544,"13",320.3,227.7
-77.032427,38.8885525,-76.998347,38.899972,"14",3909.7,1018.8
-77.038252,38.915544,-77.0444,38.9101,"15",3762,1017.2
-77.028694,38.888774,-77.0172465,38.8904955,"16",2894.7,837
-77.0494365,38.888255,-77.025236,38.88044,"17",3971.5,1077.8
-77.04657,38.88412,-77.049383,38.890539,"18",879.6,263.4
-77.038325,38.888097,-77.033234,38.892244,"19",1208.6,356.8
-77.033234,38.892244,-77.049383,38.890539,"20",2485.4,701.6
-77.032427,38.8885525,-77.00572729,38.87885438,"21",1102.7,328.9
-77.0494365,38.888255,-77.006072,38.876893,"22",1804.3,640.2
-76.99523449,38.88409515,-77.037413,38.879819,"23",2257.7,756.2
-76.99523449,38.88409515,-77.013769,38.886978,"24",3177.2,855.4
-77.037413,38.879819,-77.025236,38.88044,"25",4383.8,1184.9
-77.038252,38.915544,-77.049383,38.890539,"26",4702.1,1270.3
-77.049437,38.888255,-77.03338087,38.89646475,"27",1846.9,525
-76.99602306,38.92240364,-77.00069815,38.90731645,"28",1424.5,525
-76.99602306,38.92240364,-76.99523449,38.88409515,"29",3383.3,958.1
-77.00213045,38.90546971,-77.03442693,38.90980063,"30",2475.6,691.7
-77.050046,38.923583,-77.0494365,38.888255,"31",2245.2,567.7
-77.04657,38.88412,-77.010551,38.866277,"32",5157.9,1259
-77.0494365,38.888255,-77.032427,38.888553,"33",3202,924.1
-77.049383,38.890539,-77.00213045,38.90546971,"34",4696.9,1278.6
-77.049383,38.890539,-76.99602306,38.92240364,"35",5051.7,1318.8
-77.049383,38.890539,-77.04252452,38.92284916,"36",1695.4,516.6
-77.00572729,38.87885438,-77.049437,38.888255,"37",5473,1456.1
-76.994749,38.897274,-77.032427,38.8885525,"38",7308,1896.9
-77.0387,38.9121,-77.037413,38.879819,"39",3912.5,1050.3
-77.032427,38.8885525,-77.038325,38.888097,"40",4399.6,1206.4
-77.049437,38.888255,-77.00493,38.89696,"41",4093.9,1104.9
-77.013769,38.886978,-77.038252,38.915544,"42",4289.5,1124.6
